occ_2d,year,stock_occ,exp_stock_tot,full_time_equiv,wage,implied_price
1,1984,1.48e+09,1.48e+09,475858.2,5.181229,1
1,1985,1.62e+09,1.66e+09,492694,5.048546,1.02148
1,1986,1.79e+09,1.75e+09,506530,5.057929,.9752094
1,1987,1.72e+09,1.61e+09,452194.5,5.028996,.9349555
1,1988,2.24e+09,1.98e+09,577203.2,5.038419,.8820164
1,1989,2.63e+09,2.20e+09,657888,4.975803,.8353012
1,1990,2.34e+09,1.83e+09,552533.6,5.044201,.7818342
1,1991,2.38e+09,1.80e+09,540033.7,5.008445,.7570239
1,1992,2.79e+09,1.86e+09,622999.7,5.220468,.6682727
1,1993,2.97e+09,1.99e+09,648627,5.07049,.6708522
1,1994,2.82e+09,1.73e+09,581230.1,4.943736,.6111189
1,1995,3.81e+09,2.29e+09,773438.7,5.492164,.6020259
1,1996,3.41e+09,1.81e+09,649533.7,5.591494,.5300404
1,1997,3.69e+09,2.08e+09,638814.5,5.520302,.5646417
1,1998,3.94e+09,2.15e+09,624936.3,6.224276,.543959
1,1999,5.05e+09,2.39e+09,726675.1,5.605032,.4738241
1,2000,5.77e+09,2.56e+09,769436.8,5.806097,.4439636
1,2001,5.89e+09,2.40e+09,728615.1,5.862057,.4079701
1,2002,7.99e+09,3.22e+09,890826.1,6.739815,.4028297
1,2003,7.55e+09,2.49e+09,752728.8,6.045641,.3293767
1,2004,8.27e+09,2.16e+09,806104,6.500125,.2609514
1,2005,8.72e+09,2.29e+09,818334.8,5.897362,.2622731
1,2006,9.66e+09,2.19e+09,865944.5,6.19948,.2265278
1,2007,1.06e+10,2.60e+09,899965.8,6.171177,.2444852
1,2008,9.82e+09,2.00e+09,782580.2,6.084824,.2040954
1,2009,1.10e+10,2.33e+09,769555.1,5.792628,.2111262
1,2010,1.17e+10,2.11e+09,795738.5,6.270342,.1804565
1,2011,1.20e+10,2.34e+09,786519.2,5.957691,.194093
1,2012,1.13e+10,2.03e+09,705078.7,6.633234,.1790074
1,2013,1.27e+10,2.27e+09,788842.4,6.922086,.1785831
1,2014,1.45e+10,2.26e+09,848236.2,6.148017,.1561693
1,2015,1.26e+10,1.81e+09,724519.4,6.500696,.143016
2,1984,6.46e+09,6.46e+09,1327959,8.536625,1
2,1985,6.98e+09,6.60e+09,1455195,8.80934,.9462744
2,1986,7.22e+09,6.82e+09,1487993,8.880265,.9444003
2,1987,7.64e+09,6.66e+09,1425661,8.39583,.870952
2,1988,8.82e+09,6.08e+09,1616243,9.676813,.689194
2,1989,9.67e+09,6.47e+09,1692868,8.659136,.6689321
2,1990,9.95e+09,6.46e+09,1724693,7.920799,.6497861
2,1991,1.07e+10,6.61e+09,1739929,10.17739,.6209216
2,1992,1.24e+10,6.89e+09,1811723,8.89092,.5554453
2,1993,1.25e+10,6.44e+09,1749353,10.60946,.5133277
2,1994,1.40e+10,7.74e+09,1757421,9.776535,.5550852
2,1995,1.50e+10,7.24e+09,1743523,10.11575,.4838172
2,1996,1.70e+10,6.84e+09,1757456,9.639468,.4026206
2,1997,2.14e+10,9.82e+09,1934266,10.19462,.4583437
2,1998,2.67e+10,1.17e+10,2086171,9.249214,.4386849
2,1999,2.98e+10,1.04e+10,2071712,9.526407,.349628
2,2000,3.26e+10,1.08e+10,2096039,10.32073,.3309858
2,2001,3.54e+10,1.05e+10,2085795,9.965073,.2976997
2,2002,4.32e+10,1.17e+10,2088741,12.08605,.2706765
2,2003,5.38e+10,1.17e+10,2366052,10.42265,.2180572
2,2004,5.93e+10,1.18e+10,2409961,10.81697,.1998235
2,2005,6.55e+10,1.26e+10,2499776,12.64196,.1923583
2,2006,7.31e+10,1.23e+10,2557968,11.65704,.1675413
2,2007,7.90e+10,1.44e+10,2521250,11.34592,.182702
2,2008,8.60e+10,1.08e+10,2535986,11.0002,.1253418
2,2009,1.10e+11,1.68e+10,2686194,11.65019,.1524428
2,2010,1.13e+11,1.36e+10,2609828,11.70019,.1202939
2,2011,1.21e+11,1.48e+10,2514731,11.69098,.1224233
2,2012,1.33e+11,1.61e+10,2526784,11.64918,.1207413
2,2013,1.45e+11,1.66e+10,2565175,12.19093,.1140762
2,2014,1.51e+11,1.48e+10,2474905,11.90859,.0980654
2,2015,1.65e+11,1.55e+10,2436025,11.43636,.0943587
3,1984,2.05e+09,2.05e+09,1628895,5.325211,1
3,1985,2.36e+09,2.19e+09,1704176,5.123405,.9305382
3,1986,2.86e+09,2.66e+09,1827258,5.528729,.9304982
3,1987,3.36e+09,2.96e+09,1945634,5.47494,.880307
3,1988,3.64e+09,3.15e+09,1999076,5.361717,.8668471
3,1989,4.05e+09,3.21e+09,2005925,5.24178,.7936288
3,1990,4.34e+09,3.21e+09,1972904,5.141232,.7385741
3,1991,4.89e+09,3.74e+09,2082281,5.518622,.7646147
3,1992,5.22e+09,3.61e+09,2106756,5.327355,.6910936
3,1993,5.77e+09,3.73e+09,2232348,5.414385,.6458855
3,1994,6.53e+09,3.89e+09,2259127,5.57662,.5955425
3,1995,7.42e+09,4.53e+09,2276907,5.380806,.6105189
3,1996,9.34e+09,5.13e+09,2467308,5.286094,.5487972
3,1997,1.10e+10,5.60e+09,2488912,5.588451,.510695
3,1998,1.40e+10,6.55e+09,2787098,5.625463,.467785
3,1999,1.54e+10,6.60e+09,2736312,5.718564,.4291092
3,2000,1.95e+10,7.68e+09,3000246,5.836254,.393471
3,2001,2.12e+10,7.73e+09,2966000,6.335703,.3651979
