OCCUPATIONAL CATEGORIES, DIVISIONS, AND GROUPS                                  
                                                                                
ONE-DIGIT OCCUPATIONAL CATEGORIES                                               
                                                                                
0/1  PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS                        
2  CLERICAL AND SALES OCCUPATIONS                                               
3  SERVICE OCCUPATIONS                                                          
4  AGRICULTURAL, FISHERY, FORESTRY, AND RELATED OCCUPATIONS                     
5  PROCESSING OCCUPATIONS                                                       
6  MACHINE TRADES OCCUPATIONS                                                   
7  BENCHWORK OCCUPATIONS                                                        
8  STRUCTURAL WORK OCCUPATIONS                                                  
9  MISCELLANEOUS OCCUPATIONS                                                    
                                                                                
TWO-DIGIT OCCUPATIONAL DIVISIONS                                                
                                                                                
00/01  OCCUPATIONS IN ARCHITECTURE, ENGINEERING, AND SURVEYING                  
02  OCCUPATIONS IN MATHEMATICS AND PHYSICAL SCIENCES                            
03  COMPUTER-RELATED OCCUPATIONS                                                
04  OCCUPATIONS IN LIFE SCIENCES                                                
05  OCCUPATIONS IN SOCIAL SCIENCES                                              
07  OCCUPATIONS IN MEDICINE AND HEALTH                                          
09  OCCUPATIONS IN EDUCATION                                                    
10  OCCUPATIONS IN MUSEUM, LIBRARY, AND ARCHIVAL SCIENCES                       
11  OCCUPATIONS IN LAW AND JURISPRUDENCE                                        
12  OCCUPATIONS IN RELIGION AND THEOLOGY                                        
13  OCCUPATIONS IN WRITING                                                      
14  OCCUPATIONS IN ART                                                          
15  OCCUPATIONS IN ENTERTAINMENT AND RECREATION                                 
16  OCCUPATIONS IN ADMINISTRATIVE SPECIALIZATIONS                               
18  MANAGERS AND OFFICIALS, N.E.C.                                              
19  MISCELLANEOUS PROFESSIONAL, TECHNICAL, AND MANAGERIAL OCCUPATIONS           
20  STENOGRAPHY, TYPING, FILING, AND RELATED OCCUPATIONS                        
21  COMPUTING AND ACCOUNT-RECORDING OCCUPATIONS                                 
22  PRODUCTION AND STOCK CLERKS AND RELATED OCCUPATIONS                         
23  INFORMATION AND MESSAGE DISTRIBUTION OCCUPATIONS                            
24  MISCELLANEOUS CLERICAL OCCUPATIONS                                          
25  SALES OCCUPATIONS, SERVICES                                                 
26  SALES OCCUPATIONS, CONSUMABLE COMMODITIES                                   
27  SALES OCCUPATIONS, COMMODITIES, N.E.C.                                      
29  MISCELLANEOUS SALES OCCUPATIONS                                             
30  DOMESTIC SERVICE OCCUPATIONS                                                
31  FOOD AND BEVERAGE PREPARATION AND SERVICE OCCUPATIONS                       
32  LODGING AND RELATED SERVICE OCCUPATIONS                                     
33  BARBERING, COSMETOLOGY, AND RELATED SERVICE OCCUPATIONS                     
34  AMUSEMENT AND RECREATION SERVICE OCCUPATIONS                                
35  MISCELLANEOUS PERSONAL SERVICE OCCUPATIONS                                  
36  APPAREL AND FURNISHINGS SERVICE OCCUPATIONS                                 
37  PROTECTIVE SERVICE OCCUPATIONS                                              
38  BUILDING AND RELATED SERVICE OCCUPATIONS                                    
40  PLANT FARMING OCCUPATIONS                                                   
41  ANIMAL FARMING OCCUPATIONS                                                  
42  MISCELLANEOUS AGRICULTURAL AND RELATED OCCUPATIONS                          
44  FISHERY AND RELATED OCCUPATIONS                                             
45  FORESTRY OCCUPATIONS                                                        
46  HUNTING, TRAPPING, AND RELATED OCCUPATIONS                                  
50  OCCUPATIONS IN PROCESSING OF METAL                                          
51  ORE REFINING AND FOUNDRY OCCUPATIONS                                        
52  OCCUPATIONS IN PROCESSING OF FOOD, TOBACCO, AND RELATED PRODUCTS            
53  OCCUPATIONS IN PROCESSING OF PAPER AND RELATED MATERIALS                    
54  OCCUPATIONS IN PROCESSING OF PETROLEUM, COAL, NATURAL AND MANUFACTURED GAS, 
    AND RELATED PRODUCTS                                                        
55  OCCUPATIONS IN PROCESSING OF CHEMICALS, PLASTICS, SYNTHETICS, RUBBER, PAINT,
    AND RELATED PRODUCTS                                                        
56  OCCUPATIONS IN PROCESSING OF WOOD AND WOOD PRODUCTS                         
57  OCCUPATIONS IN PROCESSING OF STONE, CLAY, GLASS, AND RELATED PRODUCTS       
58  OCCUPATIONS IN PROCESSING OF LEATHER, TEXTILES, AND RELATED PRODUCTS        
59  PROCESSING OCCUPATIONS, N.E.C.                                              
60  METAL MACHINING OCCUPATIONS                                                 
61  METALWORKING OCCUPATIONS, N.E.C.                                            
62/63  MECHANICS AND MACHINERY REPAIRERS                                        
64  PAPERWORKING OCCUPATIONS                                                    
65  PRINTING OCCUPATIONS                                                        
66  WOOD MACHINING OCCUPATIONS                                                  
67  OCCUPATIONS IN MACHINING STONE, CLAY, GLASS, AND RELATED MATERIALS          
68  TEXTILE OCCUPATIONS                                                         
69  MACHINE TRADES OCCUPATIONS, N.E.C.                                          
70  OCCUPATIONS IN FABRICATION, ASSEMBLY, AND REPAIR OF METAL PRODUCTS, N.E.C.  
71  OCCUPATIONS IN FABRICATION AND REPAIR OF SCIENTIFIC, MEDICAL, PHOTOGRAPHIC, 
    OPTICAL, HOROLOGICAL, AND RELATED PRODUCTS                                  
72  OCCUPATIONS IN ASSEMBLY AND REPAIR OF ELECTRICAL EQUIPMENT                  
73  OCCUPATIONS IN FABRICATION AND REPAIR OF PRODUCTS MADE FROM ASSORTED        
    MATERIALS                                                                   
74  PAINTING, DECORATING, AND RELATED OCCUPATIONS                               
75  OCCUPATIONS IN FABRICATION AND REPAIR OF PLASTICS, SYNTHETICS, RUBBER, AND  
    RELATED PRODUCTS                                                            
76  OCCUPATIONS IN FABRICATION AND REPAIR OF WOOD PRODUCTS                      
77  OCCUPATIONS IN FABRICATION AND REPAIR OF SAND, STONE, CLAY, AND GLASS       
    PRODUCTS                                                                    
78  OCCUPATIONS IN FABRICATION AND REPAIR OF TEXTILE, LEATHER, AND RELATED      
    PRODUCTS                                                                    
79  BENCHWORK OCCUPATIONS, N.E.C.                                               
80  OCCUPATIONS IN METAL FABRICATING, N.E.C.                                    
81  WELDERS, CUTTERS, AND RELATED OCCUPATIONS                                   
82  ELECTRICAL ASSEMBLING, INSTALLING, AND REPAIRING OCCUPATIONS                
84  PAINTING, PLASTERING, WATERPROOFING, CEMENTING, AND RELATED OCCUPATIONS     
85  EXCAVATING, GRADING, PAVING, AND RELATED OCCUPATIONS                        
86  CONSTRUCTION OCCUPATIONS, N.E.C.                                            
89  STRUCTURAL WORK OCCUPATIONS, N.E.C.                                         
90  MOTOR FREIGHT OCCUPATIONS                                                   
91  TRANSPORTATION OCCUPATIONS, N.E.C.                                          
92  PACKAGING AND MATERIALS HANDLING OCCUPATIONS                                
93  OCCUPATIONS IN EXTRACTION OF MINERALS                                       
95  OCCUPATIONS IN PRODUCTION AND DISTRIBUTION OF UTILITIES                     
96  AMUSEMENT, RECREATION, MOTION PICTURE, RADIO AND TELEVISION OCCUPATIONS,    
    N.E.C.                                                                      
97  OCCUPATIONS IN GRAPHIC ART WORK                                             
                                                                                
                                                                                
THREE-DIGIT OCCUPATIONAL GROUPS                                                 
                                                                                
001  ARCHITECTURAL OCCUPATIONS                                                  
002  AERONAUTICAL ENGINEERING OCCUPATIONS                                       
003  ELECTRICAL/ELECTRONICS ENGINEERING OCCUPATIONS                             
005  CIVIL ENGINEERING OCCUPATIONS                                              
006  CERAMIC ENGINEERING OCCUPATIONS                                            
007  MECHANICAL ENGINEERING OCCUPATIONS                                         
008  CHEMICAL ENGINEERING OCCUPATIONS                                           
010  MINING AND PETROLEUM ENGINEERING OCCUPATIONS                               
011  METALLURGY AND METALLURGICAL ENGINEERING OCCUPATIONS                       
012  INDUSTRIAL ENGINEERING OCCUPATIONS                                         
013  AGRICULTURAL ENGINEERING OCCUPATIONS                                       
014  MARINE ENGINEERING OCCUPATIONS                                             
015  NUCLEAR ENGINEERING OCCUPATIONS                                            
017  DRAFTERS, N.E.C.                                                           
018  SURVEYING/CARTOGRAPHIC OCCUPATIONS                                         
019  OCCUPATIONS IN ARCHITECTURE, ENGINEERING, AND SURVEYING, N.E.C.            
020  OCCUPATIONS IN MATHEMATICS                                                 
021  OCCUPATIONS IN ASTRONOMY                                                   
022  OCCUPATIONS IN CHEMISTRY                                                   
023  OCCUPATIONS IN PHYSICS                                                     
